NC_000001.10:18722630-18722936	NC_000001.10	100.000	306	0	0	1	306	18722631	18722936	3.14e-159	566
NC_000001.10:113456395-113456721	NC_000001.10	100.000	326	0	0	1	326	113456396	113456721	2.57e-170	603
NC_000001.10:113459897-113460203	NC_000001.10	100.000	306	0	0	1	306	113459898	113460203	3.14e-159	566
NC_000001.10:113460270-113460593	NC_000001.10	100.000	323	0	0	1	323	113460271	113460593	1.18e-168	597
NC_000001.10:113471727-113472054	NC_000001.10	100.000	327	0	0	1	327	113471728	113472054	7.16e-171	604
NC_000001.10:113498778-113499101	NC_000001.10	100.000	323	0	0	1	323	113498779	113499101	1.18e-168	597
NC_000002.11:10186145-10186471	NC_000002.11	100.000	326	0	0	1	326	10186146	10186471	2.57e-170	603
NC_000002.11:10187582-10187845	NC_000002.11	100.000	263	0	0	1	263	10187583	10187845	2.13e-135	486
NC_000002.11:10187834-10188089	NC_000002.11	100.000	255	0	0	1	255	10187835	10188089	5.75e-131	472
NC_000002.11:10188078-10188345	NC_000002.11	100.000	267	0	0	1	267	10188079	10188345	1.29e-137	494
NC_000002.11:10188334-10188615	NC_000002.11	100.000	281	0	0	1	281	10188335	10188615	2.26e-145	520
NC_000002.11:10188604-10188763	NC_000002.11	100.000	159	0	0	1	159	10188605	10188763	7.74e-78	294
NC_000002.11:169757468-169757785	NC_000002.11	100.000	317	0	0	1	317	169757469	169757785	2.51e-165	586
NC_000002.11:169757774-169758090	NC_000002.11	100.000	316	0	0	1	316	169757775	169758090	8.99e-165	584
NC_000002.11:169758864-169759156	NC_000002.11	100.000	292	0	0	1	292	169758865	169759156	1.81e-151	540
NC_000002.11:169760896-169761205	NC_000002.11	100.000	309	0	0	1	309	169760897	169761205	6.83e-161	571
NC_000002.11:169763072-169763388	NC_000002.11	100.000	316	0	0	1	316	169763073	169763388	8.99e-165	584
NC_000002.11:169763994-169764316	NC_000002.11	100.000	322	0	0	1	322	169763995	169764316	4.24e-168	595
NC_000002.11:169764305-169764599	NC_000002.11	100.000	294	0	0	1	294	169764306	169764599	1.41e-152	544
NC_000002.11:169764588-169764912	NC_000002.11	100.000	324	0	0	1	324	169764589	169764912	3.30e-169	599
NC_000002.11:169764901-169765156	NC_000002.11	100.000	255	0	0	1	255	169764902	169765156	5.75e-131	472
NC_000002.11:169765145-169765432	NC_000002.11	100.000	287	0	0	1	287	169765146	169765432	1.07e-148	531
NC_000002.11:169765145-169765432	NC_000002.11	100.000	32	0	0	87	118	3661595	3661626	6.06e-07	60.2
NC_000002.11:169765145-169765432	NC_000002.11	100.000	32	0	0	87	118	35935700	35935731	6.06e-07	60.2
NC_000002.11:169765145-169765432	NC_000002.11	100.000	32	0	0	151	182	39013494	39013525	6.06e-07	60.2
NC_000002.11:169765145-169765432	NC_000002.11	100.000	32	0	0	87	118	96891665	96891696	6.06e-07	60.2
NC_000002.11:169765145-169765432	NC_000002.11	100.000	32	0	0	87	118	114660972	114661003	6.06e-07	60.2
NC_000002.11:169765145-169765432	NC_000002.11	100.000	32	0	0	87	118	161526427	161526458	6.06e-07	60.2
NC_000002.11:169765145-169765432	NC_000002.11	100.000	32	0	0	87	118	171869567	171869598	6.06e-07	60.2
NC_000002.11:169765145-169765432	NC_000002.11	100.000	31	0	0	87	117	31877068	31877098	2.18e-06	58.4
NC_000002.11:169765145-169765432	NC_000002.11	100.000	31	0	0	87	117	48179340	48179370	2.18e-06	58.4
NC_000002.11:169765145-169765432	NC_000002.11	100.000	31	0	0	88	118	66835821	66835851	2.18e-06	58.4
NC_000002.11:169765145-169765432	NC_000002.11	100.000	30	0	0	91	120	10257352	10257381	7.83e-06	56.5
NC_000002.11:169765145-169765432	NC_000002.11	100.000	29	0	0	140	168	85592150	85592178	2.82e-05	54.7
NC_000002.11:169765145-169765432	NC_000002.11	100.000	29	0	0	91	119	133082366	133082394	2.82e-05	54.7
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	91	118	27542304	27542331	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	91	118	29373549	29373576	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	260	287	40442839	40442866	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	91	118	47383753	47383780	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	260	287	56072873	56072900	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	91	118	62482416	62482443	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	91	118	62821713	62821740	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	91	118	70497934	70497961	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	91	118	90468879	90468906	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	91	118	91689596	91689623	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	91	118	97056673	97056700	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	260	287	132261462	132261489	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	91	118	158059998	158060025	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	260	287	198311904	198311931	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	260	287	223720558	223720585	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	91	118	225778477	225778504	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	260	287	233475884	233475911	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	259	286	237560314	237560341	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	260	287	238811704	238811731	1.01e-04	52.8
NC_000002.11:169765145-169765432	NC_000002.11	100.000	28	0	0	260	287	242709194	242709221	1.01e-04	52.8
